,language_name,latitude,longitude,genus,family,1A,2A,3A,4A,5A,6A,7A,8A,10A,11A,12A,13A,18A,19A,9A,20A,21A,21B,26A,28A,29A,14A,15A,16A,22A,23A,24A,25A,25B,27A,17A,10B
had,Hadza,-3.75,35.1666666667,Hadza,Hadza,"{'value': 5, 'description': 'Large'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 5, 'description': 'High'}","{'value': 2, 'description': 'In plosives alone'}","{'value': 2, 'description': 'None missing in /p t k b d g/'}","{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Ejectives only'}","{'value': 4, 'description': '/l/ and lateral obstruent'}",,"{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'Simple'}","{'value': 2, 'description': 'Simple tone system'}","{'value': 1, 'description': 'All present'}","{'value': 2, 'description': 'Clicks'}",,,,,,,,,,,,,,,,,,
hai,Haida,53.0,-132.0,Haida,Haida,"{'value': 5, 'description': 'Large'}","{'value': 1, 'description': 'Small (2-4)'}","{'value': 5, 'description': 'High'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 4, 'description': 'Uvular stops and continuants'}","{'value': 6, 'description': 'Ejectives and glottalized resonants'}","{'value': 4, 'description': '/l/ and lateral obstruent'}","{'value': 2, 'description': 'Contrast absent'}","{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'Complex'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'No velar nasal'}","{'value': 1, 'description': 'Exclusively concatenative'}","{'value': 5, 'description': 'No case'}","{'value': 1, 'description': 'monoexponential TAM'}","{'value': 2, 'description': 'Strongly suffixing'}","{'value': 1, 'description': 'No case marking'}","{'value': 1, 'description': 'No subject person/number marking'}",,,,"{'value': 5, 'description': '8-9 categories per word'}","{'value': 4, 'description': 'No marking'}","{'value': 1, 'description': 'Head marking'}","{'value': 5, 'description': 'Inconsistent or other'}","{'value': 1, 'description': 'Zero-marking'}",,,
hak,Hakka,25.0,116.0,Chinese,Sino-Tibetan,"{'value': 2, 'description': 'Moderately small'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 3, 'description': 'Average'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 3, 'description': 'Complex tone system'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}",,,,,,,,,,,,,,,,,,
hmr,Hamer,5.0,36.5,South Omotic,Afro-Asiatic,"{'value': 3, 'description': 'Average'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 4, 'description': 'Moderately high'}","{'value': 4, 'description': 'In both plosives and fricatives'}","{'value': 2, 'description': 'None missing in /p t k b d g/'}","{'value': 2, 'description': 'Uvular stops only'}","{'value': 5, 'description': 'Ejectives and implosives'}","{'value': 2, 'description': '/l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 2, 'description': 'Simple tone system'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}",,,,,,,,,,,,,,,,,,
ham,Hamtai,-7.5,146.25,Nuclear Angan,Trans-New Guinea,"{'value': 1, 'description': 'Small'}","{'value': 3, 'description': 'Large (7-14)'}","{'value': 1, 'description': 'Low'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 2, 'description': 'Uvular stops only'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 1, 'description': 'No laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'Complex'}","{'value': 2, 'description': 'Simple tone system'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 4, 'description': 'Equal prefixing and suffixing'}","{'value': 1, 'description': 'No case marking'}","{'value': 2, 'description': 'Syncretic'}",,,,,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}",,
hau,Hausa,12.0,7.0,West Chadic,Afro-Asiatic,"{'value': 4, 'description': 'Moderately large'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 4, 'description': 'Moderately high'}","{'value': 4, 'description': 'In both plosives and fricatives'}","{'value': 3, 'description': 'Missing /p/'}","{'value': 1, 'description': 'Nan'}","{'value': 5, 'description': 'Ejectives and implosives'}","{'value': 2, 'description': '/l/, no obstruent laterals'}","{'value': 2, 'description': 'Contrast absent'}","{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 2, 'description': 'Simple tone system'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'No velar nasal'}","{'value': 2, 'description': 'Exclusively isolating'}","{'value': 5, 'description': 'No case'}","{'value': 1, 'description': 'monoexponential TAM'}","{'value': 1, 'description': 'Little affixation'}","{'value': 4, 'description': 'No syncretism'}","{'value': 1, 'description': 'No subject person/number marking'}",,,,"{'value': 4, 'description': '6-7 categories per word'}","{'value': 3, 'description': 'Double marking'}","{'value': 2, 'description': 'Dependent marking'}","{'value': 5, 'description': 'Inconsistent or other'}","{'value': 2, 'description': 'Non-zero marking'}","{'value': 1, 'description': 'Productive full and partial reduplication'}",,
haw,Hawaiian,19.5833333333,-155.5,Oceanic,Austronesian,"{'value': 1, 'description': 'Small'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 1, 'description': 'Low'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'Simple'}","{'value': 1, 'description': 'No tones'}","{'value': 3, 'description': 'No fricatives'}","{'value': 1, 'description': 'Nan'}",,,,,"{'value': 1, 'description': 'Little affixation'}",,,"{'value': 6, 'description': 'Penultimate'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 2, 'description': 'Long vowel'}",,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}","{'value': 1, 'description': 'Trochaic'}",
hba,Hebrew (Modern Ashkenazic),31.75,35.1666666667,Semitic,Afro-Asiatic,"{'value': 2, 'description': 'Moderately small'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 3, 'description': 'Average'}","{'value': 2, 'description': 'In plosives alone'}","{'value': 2, 'description': 'None missing in /p t k b d g/'}","{'value': 3, 'description': 'Uvular continuants only'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'Complex'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}",,,,,,,,,,,,,,,,,,
hin,Hindi,25.0,77.0,Indic,Indo-European,"{'value': 5, 'description': 'Large'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 4, 'description': 'Moderately high'}","{'value': 4, 'description': 'In both plosives and fricatives'}","{'value': 2, 'description': 'None missing in /p t k b d g/'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}","{'value': 1, 'description': 'Contrast present'}","{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'Complex'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'No velar nasal'}","{'value': 1, 'description': 'Exclusively concatenative'}","{'value': 1, 'description': 'Monoexponential case'}","{'value': 2, 'description': 'TAM+agreement'}","{'value': 2, 'description': 'Strongly suffixing'}","{'value': 3, 'description': 'Core and non-core'}","{'value': 2, 'description': 'Syncretic'}","{'value': 1, 'description': 'No fixed stress'}","{'value': 4, 'description': 'Right-oriented: One of the last three'}","{'value': 4, 'description': 'Long vowel or coda consonant'}","{'value': 2, 'description': '2-3 categories per word'}","{'value': 3, 'description': 'Double marking'}","{'value': 2, 'description': 'Dependent marking'}","{'value': 5, 'description': 'Inconsistent or other'}","{'value': 2, 'description': 'Non-zero marking'}","{'value': 1, 'description': 'Productive full and partial reduplication'}",,
hix,Hixkaryana,-1.0,-59.0,Cariban,Cariban,"{'value': 2, 'description': 'Moderately small'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 3, 'description': 'Average'}","{'value': 2, 'description': 'In plosives alone'}","{'value': 4, 'description': 'Missing /g/'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 3, 'description': 'Laterals, but no /l/, no obstruent laterals'}","{'value': 2, 'description': 'Contrast absent'}","{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'No velar nasal'}","{'value': 1, 'description': 'Exclusively concatenative'}","{'value': 5, 'description': 'No case'}","{'value': 1, 'description': 'monoexponential TAM'}","{'value': 4, 'description': 'Equal prefixing and suffixing'}","{'value': 1, 'description': 'No case marking'}","{'value': 2, 'description': 'Syncretic'}","{'value': 1, 'description': 'No fixed stress'}","{'value': 7, 'description': 'Not predictable'}","{'value': 4, 'description': 'Long vowel or coda consonant'}","{'value': 3, 'description': '4-5 categories per word'}","{'value': 1, 'description': 'Head marking'}","{'value': 1, 'description': 'Head marking'}","{'value': 1, 'description': 'Head-marking'}","{'value': 2, 'description': 'Non-zero marking'}","{'value': 3, 'description': 'No productive reduplication'}","{'value': 2, 'description': 'Iambic'}",
hmo,Hmong Njua,28.0,105.0,Hmongic,Hmong-Mien,"{'value': 5, 'description': 'Large'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 5, 'description': 'High'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 2, 'description': 'Uvular stops only'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 3, 'description': 'Complex tone system'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'No initial velar nasal'}","{'value': 2, 'description': 'Exclusively isolating'}","{'value': 5, 'description': 'No case'}","{'value': 1, 'description': 'monoexponential TAM'}","{'value': 1, 'description': 'Little affixation'}","{'value': 1, 'description': 'No case marking'}","{'value': 1, 'description': 'No subject person/number marking'}",,,,"{'value': 2, 'description': '2-3 categories per word'}","{'value': 4, 'description': 'No marking'}","{'value': 2, 'description': 'Dependent marking'}","{'value': 5, 'description': 'Inconsistent or other'}","{'value': 1, 'description': 'Zero-marking'}","{'value': 1, 'description': 'Productive full and partial reduplication'}",,
hop,Hopi,36.0,-110.0,Northern Uto-Aztecan,Uto-Aztecan,"{'value': 3, 'description': 'Average'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 3, 'description': 'Average'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 2, 'description': 'Uvular stops only'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 1, 'description': 'No laterals'}",,"{'value': 4, 'description': 'Mid only'}","{'value': 3, 'description': 'Complex'}","{'value': 2, 'description': 'Simple tone system'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}",,,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,"{'value': 1, 'description': 'No fixed stress'}","{'value': 1, 'description': 'Left-edge: First or second'}","{'value': 4, 'description': 'Long vowel or coda consonant'}",,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}","{'value': 4, 'description': 'Undetermined'}",
htc,Huastec,22.0833333333,-99.3333333333,Mayan,Mayan,"{'value': 3, 'description': 'Average'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 3, 'description': 'Average'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Ejectives only'}","{'value': 2, 'description': '/l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 5, 'description': ""'Th' sounds""}",,,,,"{'value': 1, 'description': 'Little affixation'}",,,"{'value': 1, 'description': 'No fixed stress'}","{'value': 5, 'description': 'Unbounded: Stress can be anywhere'}","{'value': 2, 'description': 'Long vowel'}",,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}","{'value': 5, 'description': 'No rhythmic stress'}",
hve,Huave (San Mateo del Mar),16.2166666667,-95.0,Huavean,Huavean,"{'value': 3, 'description': 'Average'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 3, 'description': 'Average'}","{'value': 2, 'description': 'In plosives alone'}","{'value': 4, 'description': 'Missing /g/'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 2, 'description': 'Simple tone system'}","{'value': 1, 'description': 'All present'}","{'value': 5, 'description': ""'Th' sounds""}",,"{'value': 1, 'description': 'Exclusively concatenative'}","{'value': 5, 'description': 'No case'}","{'value': 2, 'description': 'TAM+agreement'}","{'value': 4, 'description': 'Equal prefixing and suffixing'}",,,,,,"{'value': 3, 'description': '4-5 categories per word'}","{'value': 1, 'description': 'Head marking'}","{'value': 1, 'description': 'Head marking'}","{'value': 1, 'description': 'Head-marking'}","{'value': 2, 'description': 'Non-zero marking'}","{'value': 2, 'description': 'Full reduplication only'}",,
hum,Huitoto (Murui),-1.0,-73.5,Witoto,Witotoan,"{'value': 2, 'description': 'Moderately small'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 2, 'description': 'Moderately low'}","{'value': 4, 'description': 'In both plosives and fricatives'}","{'value': 3, 'description': 'Missing /p/'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 1, 'description': 'No laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'Simple'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 5, 'description': ""'Th' sounds""}",,,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
